code,name,brand,image,category,stores,generic,taxonomy_l3,taxonomy_l2
4067796001983,Kokos Drink Natur,DmBio,https://images.openfoodfacts.org/images/products/406/779/600/1983/front_de.3.200.jpg,sonstiges,dm,Kokosdrink natur,pflanzendrinks-sahne,sonstiges
8000500164976,Tic Tac Orange,tic tac,https://images.openfoodfacts.org/images/products/800/050/016/4976/front_de.26.200.jpg,suesses-knabberei,rossmann,Pfefferminzdragees Orange,fruchtgummi-suessware,suesses-knabberei
4000582188291,Hähnchenbrust mit Kräuter der Provence,Herta,https://images.openfoodfacts.org/images/products/400/058/218/8291/front_de.5.200.jpg,fleisch-fisch,rewe,Hähnchenbrust Aufschnitt,gefluegelwurst,wurst-aufschnitt
4056489845171,Basmatireis,Golden Sun,https://images.openfoodfacts.org/images/products/405/648/984/5171/front_de.36.200.jpg,vorrat,lidl,Basmatireis,basmatireis,reis
4000405002971,Vegane Mühlen Salami Peperoni,Mühlen,https://images.openfoodfacts.org/images/products/400/040/500/2971/front_de.6.200.jpg,sonstiges,rewe,Salami vegan,salami-vegan,wurstaufschnitt-vegan
4337256778831,Körniger Frischkäse Halbfettstufe,Bayernland,https://images.openfoodfacts.org/images/products/433/725/677/8831/front_de.23.200.jpg,milch-eier,rewe,Hüttenkäse,koerniger-frischkaese,frischkaese
4100060035090,Apfel-Erfrischungsgetränk mit Wassermelonengeschmack,Durstlöscher,https://images.openfoodfacts.org/images/products/410/006/003/5090/front_de.3.200.jpg,getraenke,rewe,Erfrischungsgetränk Apfel Wassermelone,limonade,getraenke
4260614722446,"Gulaschsuppe mit Rind, Kartoffeln & Paprika (Bio)",Little Lunch,https://images.openfoodfacts.org/images/products/426/061/472/2446/front_de.24.200.jpg,vorrat,rewe,Gulaschsuppe Rind,gulaschsuppe,konserven-fertiggerichte
4000405002841,Vegane Abenteuer Würstchen,Rügenwalder Mühle,https://images.openfoodfacts.org/images/products/400/040/500/2841/front_de.37.200.jpg,sonstiges,rewe,Würstchen vegan,bratwurst-vegan,fleischalternativen
4068706054594,Schoko & Gelee mit Bananengeschmack,Choceur,https://images.openfoodfacts.org/images/products/406/870/605/4594/front_de.20.200.jpg,sonstiges,aldi,Geleebananen,,
4066447717945,Rote Linsen,DmBio,https://images.openfoodfacts.org/images/products/406/644/771/7945/front_de.23.200.jpg,vorrat,dm,Linsen rot,rote-linsen,huelsenfruechte
4337256548977,Bourbon Vanille Vegan,REWE Beste Wahl,https://images.openfoodfacts.org/images/products/433/725/654/8977/front_de.13.200.jpg,tiefkuehl,rewe,Vanilleeis vegan,veganes-eis,eis
